購入日,支払先,品目,金額,科目,支払方法,事業者番号,取込日時,確認事項,原本画像リンク,AIコメント
2025-01-08,アグリテック農機センター,剪定鋏 研磨整備,4500,修繕費,現金,T7890123456789,2025-01-08 19:42,,,
2025-01-15,やまなみ果樹組合,組合費 1月分,8000,雑費,銀行振込,T1234567890123,2025-01-15 20:11,,,組合員向け栽培情報の購読料。年間予算化推奨
2025-01-20,グリーンホームセンター,チッパー替刃 セット,12800,消耗品費,クレジットカード,T2345678901234,2025-01-20 21:05,,,剪定枝処理用。同シリーズ替刃を年2回購入する傾向
2025-01-25,オアシス石油,軽トラ燃料 給油,5400,動力光熱費,クレジットカード,,2025-01-25 18:53,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-01-30,みのり書房,書籍「果樹栽培の最新技術」,3200,雑費,現金,,2025-01-30 22:14,,,研修費としても計上可能。領収書の保管推奨
2025-02-05,コアエナジー電力,電気代 1月分,8500,動力光熱費,口座引落,T3456789012345,2025-02-05 19:28,按分確認,,自宅兼作業場の共用配電。事業利用率30%で按分推奨
2025-02-10,モバイルセンター駅前店,携帯通信費 1月分,7800,通信費,口座引落,T4567890123456,2025-02-10 20:35,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-02-15,ファーマーズ肥料,土壌改良剤 石灰質 20kg×6袋,18000,肥料費,銀行振込,T5678901234567,2025-02-15 19:50,,,春先の土づくり用。例年同時期に同等額を購入
2025-02-20,グリーンホームセンター,剪定用 三脚脚立 8尺,24800,消耗品費,クレジットカード,T2345678901234,2025-02-20 21:18,,,耐用年数の見積もり次第で固定資産化検討
2025-02-27,アグリテック農機センター,草刈機キャブレター修理,8500,修繕費,現金,T7890123456789,2025-02-27 18:42,,,作業前点検整備。整備記録を残すと次回判断が容易
2025-03-03,ファーマーズ肥料,春肥 有機配合 15kg×10袋,45000,肥料費,銀行振込,T5678901234567,2025-03-03 19:33,,,春肥のメイン投入。土壌診断結果と紐付けて記録推奨
2025-03-08,ファーマーズ肥料,殺菌剤 石灰硫黄合剤 18L×4缶,28000,農薬費,銀行振込,T5678901234567,2025-03-08 20:07,,,春先の越冬病害虫対策。散布記録の保管必須
2025-03-12,コアエナジー電力,電気代 2月分,9200,動力光熱費,口座引落,T3456789012345,2025-03-12 19:24,按分確認,,自宅兼作業場の共用配電。事業利用率30%で按分推奨
2025-03-15,モバイルセンター駅前店,携帯通信費 2月分,7800,通信費,口座引落,T4567890123456,2025-03-15 20:18,按分確認,,プライベート利用と混在のため事業利用率50%で按分
2025-03-18,ナチュラル園芸資材,防鳥ネット 7m×50m,12400,諸材料費,クレジットカード,T6789012345678,2025-03-18 21:42,,,収穫期に向けた予備購入。耐用年数3年想定
2025-03-22,アグリテック農機センター,SS噴霧機 定期点検整備,15000,修繕費,現金,T7890123456789,2025-03-22 18:55,,,防除シーズン前の必須整備。点検報告書を保管
2025-03-25,オアシス石油,軽トラ燃料 給油,6200,動力光熱費,クレジットカード,,2025-03-25 19:38,按分確認,,軽トラのプライベート利用分を考慮し80%按分が妥当
2025-03-30,やまなみ果樹組合,春期防除講習会 参加費,5000,雑費,現金,T1234567890123,2025-03-30 20:14,,,研修費として認識可能。受講証明書を保管推奨
2025-04-03,ファーマーズ肥料,殺菌剤 キャプタン水和剤 500g×8,14500,農薬費,銀行振込,T5678901234567,2025-04-03 19:47,,,開花前防除の標準剤。散布記録の保管必須
2025-04-08,ファーマーズ肥料,殺虫剤 マシン油乳剤 18L,9800,農薬費,銀行振込,T5678901234567,2025-04-08 20:22,,,越冬害虫の早期駆除用
